Model,t0,input,R2,rmse1,rmse7,rmse30,Hyperparameter
SINDy,1287,30,0.8500111994002905,0.9810833262723482,1.1680272688776396,2.6164871725138665,"[3863, 500, 1801, 7595, 10899, 8702, 67, 10730]"
SINDy,1106,30,0.9853698720233173,0.23685972423831989,0.5946704592559762,0.9389606250047003,"[7455, 4542, 5322, 39, 2580, 5161, 767, 4745]"
SINDy,191,30,0.9618540303748777,1.8196331280011873,1.9410628633684504,4.711721503161361,"[4180, 10351, 11070, 5540, 3240, 8161, 96, 9054]"
SINDy,374,30,0.979547573672892,0.31305044112828506,0.5303078500231386,1.3314965202322488,"[3138, 5728, 2535, 635, 9783, 2793, 540, 105]"
SINDy,8,30,0.9920901251170952,0.19999377746234873,0.6150411344833345,1.2193518227540154,"[61, 1976, 1484, 2365, 6722, 10670, 2670, 2820]"
SINDy,923,30,0.9098892338484317,0.29242382694828434,0.48612610154764846,1.1042282064080118,"[9285, 9180, 2, 4145, 10006, 9237, 4017, 3910]"
SINDy,1652,30,0.7985664679623413,0.9862286227960685,2.350955063306143,3.7209840831464356,"[30, 9375, 8981, 2230, 4881, 1109, 57, 5890]"
SINDy,557,30,0.9508713131065564,1.6177913114096774,2.229998735422543,2.4231278522198503,"[11156, 77, 1215, 11041, 8485, 76, 3308, 8408]"
SINDy,740,30,0.9576278522669821,0.21600158422027868,0.8019211283281935,0.7770803324053451,"[7670, 10467, 5288, 4004, 7906, 4902, 7150, 1638]"
SINDy,1470,30,0.9918676751918866,0.3004358063580655,0.6205839608003955,2.6768849341507965,"[4011, 134, 5309, 10743, 10228, 5413, 2784, 8292]"
SINDy,1288,30,0.8789288052031641,0.8081418351560671,1.4048332953827745,1.9022461570839444,"[9173, 41, 207, 1914, 365, 1383, 2699, 104]"
SINDy,1107,30,0.9811419138581666,0.1959726145572628,0.5793541818640157,1.4021448705796522,"[866, 6673, 5875, 29, 3966, 11089, 6929, 9155]"
SINDy,192,30,0.951290790805093,0.48327973492216275,0.9713425807637533,5.820393747056523,"[1931, 10348, 119, 576, 5204, 8389, 10947, 5810]"
SINDy,9,30,0.9922345921407614,0.25164755994995475,0.6421682724098492,1.473095742080627,"[115, 1565, 4829, 9777, 5124, 554, 10381, 8058]"
SINDy,375,30,0.9835404723144866,0.3618680894323369,0.4728297854172331,1.0190665032828,"[8455, 5603, 5082, 7645, 2040, 10690, 9628, 4424]"
SINDy,924,30,0.88374818352336,0.809403170636999,0.6282833117129287,0.5876701223304569,"[7645, 5340, 2213, 8702, 3535, 4016, 3337, 10797]"
SINDy,1653,30,0.8198416966529029,2.4919327000779017,1.7136500750254866,3.465490519543388,"[1012, 2512, 79, 7472, 3289, 10965, 2990, 639]"
SINDy,558,30,0.9514791934258073,0.8549486061929173,4.106748384419762,1.6499145373116846,"[4277, 10603, 2059, 9385, 1164, 50, 3408, 7912]"
SINDy,1471,30,0.9920861811144263,0.20355480894847297,0.6306523190945653,2.1773672799449177,"[4899, 7386, 10701, 9203, 3166, 138, 84, 9350]"
SINDy,1289,30,0.8919285795666048,0.6641911905511065,1.0980791980765245,1.7762756997760234,"[4823, 8592, 3385, 31, 4304, 377, 2101, 5484]"
SINDy,741,30,0.9572791031242556,0.14628533319610898,0.7912187752430891,0.8703838675421322,"[4226, 4605, 10680, 1311, 3841, 9110, 6300, 5083]"
SINDy,193,30,0.9301843918964474,0.3574832187137038,1.062064224617973,3.570043857442111,"[90, 732, 2688, 2637, 8668, 7482, 2176, 3416]"
SINDy,1108,30,0.9764643039245593,0.3738415258349981,0.5859924963610246,1.545692656161905,"[4526, 9299, 621, 73, 8721, 2696, 9662, 3163]"
SINDy,376,30,0.9806497596935574,0.24411896738800498,0.5225692000325844,0.9462489069073996,"[9252, 9595, 7306, 8030, 1405, 1686, 3117, 6413]"
SINDy,10,30,0.9925040323800679,0.39670898478245237,0.6005435090504175,0.9275528732059628,"[1964, 3772, 558, 60, 3528, 2364, 1565, 7428]"
SINDy,925,30,0.8747674387014703,0.612953098262331,2.2849976976705064,3.120553757346122,"[11367, 5924, 1602, 6554, 2741, 1012, 6956, 3082]"
SINDy,1654,30,0.8345306524914177,0.9656420823318028,1.8445489226083962,0.9029816502775122,"[2276, 10686, 2235, 1049, 3958, 4141, 35, 8604]"
SINDy,742,30,0.9686379808177468,0.37528001607895334,0.7060637835309981,0.8770273110705814,"[9710, 2041, 9697, 1463, 1224, 1606, 2734, 10883]"
SINDy,559,30,0.9651721319119363,0.9245028214555036,4.657451192985987,2.2429065871802805,"[8395, 7602, 10817, 137, 10372, 4030, 9788, 5458]"
SINDy,1290,30,0.8569595689208076,1.2629289285749954,1.3463749997000745,1.9267328701321607,"[4581, 8712, 8244, 2677, 10643, 419, 842, 945]"
SINDy,1472,30,0.9924669275072913,0.2579797351799173,0.5784290834896524,1.9445859710613231,"[4415, 11066, 5570, 9510, 11057, 6652, 55, 822]"
SINDy,194,30,0.922590199565458,0.8439662173473321,0.6534639856781326,3.743456311663074,"[4860, 130, 7522, 10646, 945, 2951, 7279, 2095]"
SINDy,1109,30,0.965724739076231,0.22499098371028636,0.7313439476233676,1.2412991041421357,"[4177, 1422, 4561, 10966, 150, 6977, 7909, 10717]"
SINDy,11,30,0.9914671890527261,0.2626215867217052,0.6130408967920542,0.7488211237183744,"[10990, 40, 8746, 1271, 1526, 3308, 607, 5762]"
SINDy,926,30,0.8837987602516395,0.7168276083190062,2.5631014320610284,0.5442179429183541,"[8795, 7693, 5064, 9042, 2464, 5698, 4033, 8171]"
SINDy,377,30,0.9808778770183283,0.29393822746636117,0.6230657115145913,0.8083384593852834,"[10564, 10585, 3645, 4108, 6326, 9139, 2737, 2293]"
SINDy,1655,30,0.8379709776029974,1.7133146541979083,0.8181251132592718,1.7291894240117407,"[357, 9997, 10385, 5, 1417, 5589, 1387, 10510]"
SINDy,1473,30,0.991082878398615,0.3825252892744621,0.5979792814241682,1.8630285019454718,"[2284, 10008, 14, 544, 5681, 10903, 9699, 5689]"
SINDy,1291,30,0.8482072125677906,1.092940097096203,1.499299903919761,2.1182661171096626,"[7465, 3698, 8436, 397, 3483, 3756, 8135, 11309]"
SINDy,743,30,0.9731772859905599,0.21868555889487912,0.8356689681551599,1.126104781366489,"[3858, 2859, 9737, 4856, 6324, 5062, 5442, 5014]"
SINDy,560,30,0.9663573715258044,1.4795617362195685,4.6015910679153,2.1088118627218164,"[1961, 10245, 6651, 40, 11472, 8558, 4254, 5321]"
SINDy,195,30,0.9072199860271034,0.8137499105293817,1.0222565832670023,4.748283524678936,"[843, 4657, 474, 11346, 45, 741, 5740, 7303]"
SINDy,1110,30,0.9624413309435585,0.2591177821316832,0.6680587391091671,0.8835861966969341,"[2466, 8700, 2361, 6743, 6581, 2329, 138, 18]"
SINDy,12,30,0.9926333389098428,0.434305093509666,0.6848995071803309,1.1048294258389137,"[9546, 2658, 104, 1292, 903, 6258, 501, 6381]"
SINDy,378,30,0.986684569050563,0.26906795434096775,0.690712856171507,0.9458781085250663,"[6904, 132, 11155, 5765, 6420, 6825, 869, 6309]"
SINDy,927,30,0.8322941903094733,0.43114056026681696,0.7396320958696705,3.4765510789352234,"[6786, 9130, 8856, 2574, 2984, 1714, 2627, 4849]"
SINDy,1656,30,0.817167914404331,0.5986383380831886,1.3755165675243015,2.117062701129163,"[5879, 84, 6051, 10236, 7039, 3512, 7305, 4536]"
SINDy,1292,30,0.8411271689656544,0.3861855938299353,2.165815544773564,1.0981740109282412,"[10248, 2854, 8056, 4152, 4772, 1823, 5478, 8740]"
SINDy,1474,30,0.9879718035950316,0.34647394245287383,0.458125715645119,1.366716320300929,"[9706, 4949, 1769, 9250, 97, 4584, 873, 3803]"
SINDy,744,30,0.969631721305352,0.2120560079198117,0.8405652210773162,1.0786517375054743,"[1231, 8496, 6778, 2980, 7688, 1477, 9331, 7475]"
SINDy,561,30,0.9642448344920155,1.3031844011267155,3.6940314802065464,2.3383153147734808,"[8735, 393, 114, 5337, 10, 4219, 3700, 6081]"
SINDy,13,30,0.994465374305543,0.35609839682496913,0.64853372865557,1.1248452689510868,"[4578, 30, 1322, 113, 9324, 8155, 10202, 950]"
SINDy,196,30,0.8834247965732194,0.35405547957666955,1.9831182329856087,5.382229173929926,"[7205, 134, 1244, 121, 9803, 1197, 4314, 6635]"
SINDy,1111,30,0.9686535613246934,0.36982031898734197,0.535674607174135,0.910915731344778,"[5542, 2928, 1143, 2291, 3939, 5697, 2679, 1273]"
SINDy,1657,30,0.8328253007126405,0.6601798887231474,1.4373476581425355,2.084313373732622,"[7810, 1262, 7082, 7216, 12, 7222, 7423, 8843]"
SINDy,928,30,0.8382757474207779,0.29414772306952236,1.1696733897194262,4.3714422042620305,"[2608, 6831, 7467, 1440, 2041, 6662, 9058, 7967]"
SINDy,379,30,0.9870670293307959,0.36059572318607147,0.9190174717580503,0.6972847387200469,"[7899, 10907, 1633, 11175, 2541, 908, 5365, 6806]"
SINDy,1293,30,0.8593190859054856,1.5313543483763041,2.1759514758214644,1.75046685489352,"[368, 690, 5398, 1516, 8981, 3592, 5425, 7203]"
SINDy,562,30,0.9618048777972236,0.5453101902067348,2.9151528345690823,3.588065669061719,"[7903, 7926, 1520, 8654, 10392, 9326, 107, 1053]"
SINDy,1475,30,0.9857723848767966,0.4027026452483698,0.6461558708952652,1.4765948179080308,"[7803, 10662, 8457, 2144, 31, 10651, 9756, 4383]"
SINDy,745,30,0.96889243932405,0.5027017854043502,0.6829917539752243,1.244155219305176,"[1487, 9986, 5064, 3194, 7324, 7011, 1745, 8641]"
SINDy,14,30,0.992956855886526,0.317931813298924,0.6435615207729928,1.0616858563918856,"[2476, 49, 148, 9733, 2697, 1385, 2009, 8946]"
SINDy,197,30,0.8531875766461163,0.9344264835092871,1.3656269992617587,4.470813713692552,"[5394, 11431, 39, 9781, 2009, 98, 3767, 4756]"
