lon,lat,EOF1,EOF2,EOF3,EOF4,EOF5
130.16,36.6,-0.08042986542318975,-0.11861808439500962,-0.08254846552848186,0.019750749280395125,0.04851483799390373
130.24,36.6,-0.07561765992890099,-0.12207375934569173,-0.09825123979077693,0.04430195884113467,0.09660852981728513
129.52,36.64,-0.10978959318845619,0.1654501076201766,-0.1710223918062836,-0.049397778992636227,-0.07136154227736705
129.6,36.64,-0.09895884411084369,0.11623803628188008,-0.041724802557417034,0.02518746090521792,0.014656371171370168
129.68,36.64,-0.09466628577328695,0.07578092476015728,0.07738242195246532,0.06438786971325948,0.05070771315608617
129.76,36.64,-0.09642596057473211,0.03983202197094932,0.1364315318321726,0.06450413733896682,0.01229279409520805
129.84,36.64,-0.097992640243744,0.0005675759351497722,0.1263774839571082,0.039501599014406,-0.06919188073311652
129.92,36.64,-0.09640589711291007,-0.03902217968452914,0.08094845128569315,0.018040875174365752,-0.11455744377012637
130.0,36.64,-0.0916817021185261,-0.07169715957142399,0.018640603909397233,0.020854534923563223,-0.08740633823481678
130.08,36.64,-0.0858175647190734,-0.09945039364438979,-0.043461123364622156,0.03111825481670247,-0.014231060231713355
130.16,36.64,-0.08004363480026774,-0.11656767433257226,-0.08203806012252986,0.0477109193228688,0.06012711416205663
130.24,36.64,-0.07542888812793927,-0.11971110267818458,-0.09459809159515808,0.06717403491374047,0.1087560553963716
129.52,36.68,-0.10894967749041123,0.16624020523718655,-0.17613858261503398,-0.04390262216641998,-0.0921284892237683
129.6,36.68,-0.09840865750844234,0.11807913971304447,-0.0507083464904032,0.03403391654916757,-0.015152790138076987
129.68,36.68,-0.09421451594504125,0.07779113662927728,0.06674438241484958,0.07565871473751316,0.01997518671854023
129.76,36.68,-0.09594531732606112,0.04103399149468736,0.12577799274564258,0.0816273512068586,-0.0127140844606002
129.84,36.68,-0.09731384046400024,0.0028446304600163647,0.11639223627587239,0.06893398558191191,-0.08449796163870284
129.92,36.68,-0.0956726471093889,-0.036211796996245535,0.07171069890366444,0.0526152480663757,-0.11644406318903067
130.0,36.68,-0.09102193278475823,-0.06879769005369502,0.011722375941102772,0.05445594922341357,-0.07983867278053003
130.08,36.68,-0.08522080657505428,-0.0970123815322808,-0.04540380673114687,0.05885405341218568,-0.00278503325951752
130.16,36.68,-0.07961622604661292,-0.11347881859391058,-0.08060468854506307,0.07075166450081308,0.07136801384612647
130.24,36.68,-0.0751396990856491,-0.11621815606831283,-0.09232581143668706,0.08460532395122995,0.116263001093401
129.52,36.72,-0.10788896985798838,0.16625211313028904,-0.17997079815604447,-0.0389007443604768,-0.11155373838050049
129.6,36.72,-0.09757951612031485,0.1189558880945741,-0.05952945254807735,0.040933267954661054,-0.043277600470549016
129.68,36.72,-0.09365762513734657,0.0792762484646624,0.055106776424785855,0.08507037221191337,-0.008947375462968607
129.76,36.72,-0.09536408189241331,0.04175832970859172,0.11422869026954457,0.09642751604478356,-0.03685951624111305
129.84,36.72,-0.09640401859516702,0.004560217518727441,0.10558349266556002,0.09516707778862024,-0.09811971512752016
129.92,36.72,-0.09477940457994416,-0.03351399613083859,0.06203586702429333,0.08446764161045926,-0.1157788145346002
130.0,36.72,-0.09020740692123282,-0.06613289926482033,0.0046267289241818145,0.08484199521097971,-0.0706903488145753
130.08,36.72,-0.08457209078272405,-0.09439257690217154,-0.04702560427407176,0.08346255882360747,0.008193528869623528
130.16,36.72,-0.07918491894719934,-0.10991750626981392,-0.07881468394160843,0.0911788418546974,0.0813972823024534
130.24,36.72,-0.07482387372102076,-0.11237045144754018,-0.09029894167990912,0.09923554773036451,0.12123694111683483
129.52,36.76,-0.10629156925633329,0.16420064591236289,-0.18030522071709693,-0.036219793688554804,-0.1292121530187942
129.6,36.76,-0.09622423609256181,0.11679369580826991,-0.06813346447217127,0.04345455900118634,-0.06916561758216201
129.68,36.76,-0.09288657765957517,0.07858075604256941,0.04237810971566932,0.09035817134482363,-0.035654332960803864
129.76,36.76,-0.0948202453069897,0.04110587539339782,0.10168566400232695,0.10745411381521598,-0.05901576718399484
129.84,36.76,-0.09535819710175744,0.004042664783770584,0.09283436387716616,0.11357511191811047,-0.10836824746590458
129.92,36.76,-0.09367288635584203,-0.03209354827366851,0.0528892501333597,0.1095149599367507,-0.10881850155070623
130.0,36.76,-0.08934249098657975,-0.06433484548330773,-0.00015730376190486732,0.10821852929251473,-0.05989807170897752
